incd
Incidence Rate Report by State,,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2013-2017",,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,,
,,,,,,,,,,,,,
State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),0,***,448.7,448.4,449,N/A , N/A , N/A,1673102,falling,-1.0,-1.2,-0.8
Kentucky(7),21000,***,519.6,516.8,522.5,1,1,1,27313,falling,-0.4,-0.5,-0.2
Delaware(6),10000,***,488.2,482.4,494,2,2,8,5834,falling,-2.8,-4.6,-0.8
New Jersey(7),34000,***,485.9,484,487.9,3,2,6,51689,falling,-0.8,-0.9,-0.6
New York(7),36000,***,485.2,483.9,486.5,4,2,6,113149,falling,-0.8,-1.1,-0.4
Pennsylvania(6),42000,***,484.6,483.1,486.2,5,2,7,79595,falling,-0.9,-1.4,-0.5
New Hampshire(6),33000,***,482.4,477.6,487.2,6,2,10,8313,falling,-0.8,-1.0,-0.6
Louisiana(7),22000,***,481,478.3,483.7,7,4,10,25360,falling,-0.7,-0.9,-0.5
Iowa(7),19000,***,479,475.8,482.2,8,5,11,18173,falling,-0.2,-0.3,-0.1
West Virginia(6),54000,***,478.9,474.9,482.9,9,5,12,11839,falling,-0.4,-0.5,-0.2
Maine(6),23000,***,474.3,469.7,478.9,10,7,16,8817,stable,-0.4,-1.0,0.2
Rhode Island(6),44000,***,473.6,468.2,479,11,7,18,6195,stable,-3.0,-6.4,0.4
